reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-M32/81-7900067/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900067/2024,81,,,,,,,
YS-M32/81-7900019/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900019/2024,81,,,,,,,
YS-M32/81-7900074/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900074/2024,81,,,,,,,
YS-M32/81-7900063/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900063/2024,81,,,,,,,
YS-M32/81-7900062/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900062/2024,81,,,,,,,
YS-M32/81-7700002/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700002/2024,81,,,,,,,
YS-M32/81-7700127/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700127/2024,81,,,,,,,
YS-M32/81-7700022/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700022/2024,81,,,,,,,
YS-M32/81-7700244/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700244/2024,81,,,,,,,
YS-M32/81-7700111/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700111/2024,81,,,,,,,
YS-M32/81-7900017/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900017/2024,81,,,,,,,
YS-M32/81-7900046/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900046/2024,81,,,,,,,
YS-M32/81-7900047/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900047/2024,81,,,,,,,
YS-M32/81-7900081/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900081/2024,81,,,,,,,
YS-M32/81-7900029/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900029/2024,81,,,,,,,
YS-M32/81-7900043/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900043/2024,81,,,,,,,
YS-M32/81-7700079/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700079/2024,81,,,,,,,
YS-M32/81-7700138/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700138/2024,81,,,,,,,
YS-M32/81-7700204/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700204/2024,81,,,,,,,
YS-M32/81-7700102/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700102/2024,81,,,,,,,
YS-M32/81-7900039/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900039/2024,81,,,,,,,
YS-M32/81-7900049/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900049/2024,81,,,,,,,
YS-M32/81-7700293/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700293/2024,81,,,,,,,
YS-M32/81-7900055/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900055/2024,81,,,,,,,
YS-M32/81-7900073/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900073/2024,81,,,,,,,
YS-M32/81-7900023/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900023/2024,81,,,,,,,
YS-M32/81-7900022/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900022/2024,81,,,,,,,
YS-M32/81-7700003/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700003/2024,81,,,,,,,
YS-M32/81-7900065/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900065/2024,81,,,,,,,
YS-M32/81-7900037/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900037/2024,81,,,,,,,
YS-M32/81-7900036/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900036/2024,81,,,,,,,
YS-M32/81-7900079/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900079/2024,81,,,,,,,
YS-M32/81-7900080/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900080/2024,81,,,,,,,
YS-M32/81-7900045/2025,32,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900045/2024,81,,,,,,,
YS-M32/81-7900050/2025,33,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900050/2024,81,,,,,,,
YS-M32/81-7900040/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900040/2024,81,,,,,,,
YS-M32/81-7700144/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700144/2024,81,,,,,,,
YS-M32/81-7700008/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700008/2024,81,,,,,,,
YS-M32/81-7700259/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700259/2024,81,,,,,,,
YS-M32/81-7700143/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700143/2024,81,,,,,,,
YS-M32/81-7700019/2025,45,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700019/2024,81,,,,,,,
YS-M32/81-7900056/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900056/2024,81,,,,,,,
